Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2020,11873.0,5926.0,5947.0,50%,1928.0,1951.0,1680.0,4244.0,11%,3785.0,18.52,17%,406.0,25051.0,30242.0,6217.0,61917.0,32715.0,3216.0,1178.0,24808.0,61917.0,ADANIPORTS.NS,,,,,,
Mar 2021,12550.0,3862.0,8688.0,69%,1967.0,2255.0,2107.0,6292.0,20%,5049.0,24.58,20%,406.0,30035.0,35855.0,8285.0,74582.0,48291.0,3697.0,2236.0,20358.0,74582.0,ADANIPORTS.NS,,,,,,
Mar 2022,17119.0,7591.0,9528.0,56%,1832.0,2544.0,3099.0,5717.0,13%,4953.0,23.13,22%,422.0,41399.0,47935.0,8572.0,98328.0,62553.0,4023.0,3161.0,28591.0,98328.0,ADANIPORTS.NS,,,,,,
Mar 2023,20852.0,9905.0,10947.0,52%,327.0,2363.0,3425.0,5487.0,2%,5391.0,24.58,20%,432.0,44957.0,53434.0,13740.0,112563.0,72224.0,6637.0,7432.0,26271.0,112563.0,ADANIPORTS.NS,,,,,,
Mar 2024,26711.0,11121.0,15589.0,58%,671.0,2733.0,3888.0,9639.0,16%,8104.0,37.55,16%,432.0,52346.0,49470.0,14751.0,116999.0,75148.0,10936.0,4289.0,26627.0,116999.0,ADANIPORTS.NS,,,,,,
Mar 2025,30475.0,12335.0,18141.0,60%,1800.0,2532.0,4379.0,13030.0,15%,11061.0,51.35,14%,432.0,61837.0,51621.0,19553.0,133443.0,89616.0,11706.0,4659.0,27461.0,133443.0,ADANIPORTS.NS,,,,,,
Mar 2014,15328.0,10735.0,4593.0,30%,137.0,4162.0,1937.0,-1370.0,-79%,-291.0,-0.2,-0%,2872.0,3671.0,44150.0,8045.0,58739.0,46365.0,3660.0,115.0,8599.0,58739.0,ADANIPOWER.NS,,,,,,
Mar 2015,18683.0,14005.0,4678.0,25%,1188.0,4864.0,1818.0,-816.0,-0%,-816.0,-0.57,-0%,2872.0,2853.0,44742.0,8008.0,58474.0,45080.0,191.0,357.0,12846.0,58474.0,ADANIPOWER.NS,,,,,,
Mar 2016,25377.0,16575.0,8802.0,35%,-201.0,5560.0,2666.0,375.0,-47%,551.0,0.33,-0%,3334.0,4134.0,52729.0,15597.0,75794.0,56941.0,88.0,0.0,18765.0,75794.0,ADANIPOWER.NS,,,,,,
Mar 2017,22616.0,16635.0,5980.0,26%,-3666.0,5902.0,2672.0,-6260.0,-1%,-6174.0,-3.2,-0%,3857.0,-857.0,52484.0,16027.0,71511.0,54391.0,125.0,164.0,16831.0,71511.0,ADANIPOWER.NS,,,,,,
Mar 2018,20304.0,14868.0,5436.0,27%,754.0,5570.0,2699.0,-2079.0,-0%,-2103.0,-1.09,-0%,3857.0,-2968.0,52835.0,15804.0,69528.0,52137.0,120.0,0.0,17271.0,69528.0,ADANIPOWER.NS,,,,,,
Mar 2019,23884.0,18901.0,4983.0,21%,2448.0,5657.0,2751.0,-976.0,1%,-984.0,-0.51,-0%,3857.0,3855.0,46980.0,13293.0,67985.0,50419.0,350.0,3.0,17213.0,67985.0,ADANIPOWER.NS,,,,,,
Mar 2020,26468.0,20734.0,5734.0,22%,323.0,5315.0,3006.0,-2265.0,0%,-2275.0,-1.18,-0%,3857.0,2624.0,55199.0,13346.0,75025.0,55846.0,2347.0,3.0,16830.0,75025.0,ADANIPOWER.NS,,,,,,
